from,coord,to,coord,distance_in_miles
Disneyland Railroad,"(48.872951, 2.7809789)",Main Street Cinema,"(28.4172281, -81.5810162)",4531.992519106888
Disneyland Railroad,"(48.872951, 2.7809789)",Jungle Cruise,"(28.41794735, -81.58349665864117)",4532.066897287216
Disneyland Railroad,"(48.872951, 2.7809789)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",4532.136896931914
Disneyland Railroad,"(48.872951, 2.7809789)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",4531.833856312205
Disneyland Railroad,"(48.872951, 2.7809789)",Splash Mountain,"(28.4192429, -81.58504252640626)",4532.072763901129
Disneyland Railroad,"(48.872951, 2.7809789)",Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",0.2716976016267749
Disneyland Railroad,"(48.872951, 2.7809789)",Dumbo the Flying Elephant,"(48.87399895, 2.774583969325409)",0.3003532330428833
Disneyland Railroad,"(48.872951, 2.7809789)",Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",0.12562648395089868
Disneyland Railroad,"(48.872951, 2.7809789)",Autopia,"(48.8732257, 2.7789328)",0.09517791500895868
Disneyland Railroad,"(48.872951, 2.7809789)",Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",0.17150196034203816
Disneyland Railroad,"(48.872951, 2.7809789)",Space Mountain,"(48.87407195, 2.779286235777686)",0.10932851156472574
Disneyland Railroad,"(48.872951, 2.7809789)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",4533.93480982345
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",0.20989021167225883
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",The Disney Gallery,"(33.8101946, -117.9184302)",0.008285260696276598
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.2027749116473
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",0.11886360531180974
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2174.043865648584
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.15495913875482012
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",0.1436393545219505
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",2173.971118528353
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",0.25589062526736034
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",0.2594949057910845
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",2174.177959276255
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Splash Mountain,"(28.4192429, -81.58504252640626)",2173.925745259856
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",0.20078737437094746
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",0.19274131998687835
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",0.16258379971219333
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",0.23280265460043006
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",0.3350265703371017
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Donald's Boat,"(33.8151805, -117.91906404856115)",0.3398571676818739
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",0.34649127193809137
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Minnie's House,"(33.81558355, -117.91901094992576)",0.3671065263005466
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",0.34737912415261885
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Fantasyland Theatre,"(33.81447575, -117.9193328753469)",0.2943272437168856
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",It's a Small World,"(33.8153316, -117.91738182498915)",0.352017128230155
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",0.20958812946461697
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Pixie Hollow,"(33.812503, -117.9182845)",0.15277203484888752
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",0.19809307243095622
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",0.23709245514151966
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",0.2423770063752989
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Alice in Wonderland,"(33.8131608, -117.918366)",0.1980846079389944
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",0.1930690417759874
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",0.2164253842015028
Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",0.21985042725817142
