from,coord,to,coord,distance_in_miles
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",2174.014566969777
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",2173.9669326728044
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Dumbo the Flying Elephant,"(48.87399895, 2.774583969325409)",4531.836715151825
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",2174.0221335198116
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Alice in Wonderland,"(33.8131608, -117.918366)",2173.972134969249
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",2173.9425339020863
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",2174.006227067511
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",2173.9669690212813
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",2174.0154161194596
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",4532.011545394127
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Autopia,"(48.8732257, 2.7789328)",4532.041997611794
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",4532.027078742479
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",2173.932406467283
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Space Mountain,"(48.87407195, 2.779286235777686)",4532.041483750797
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Disneyland Monorail,"(33.812807, -117.9166715)",2173.874722639554
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Disneyland Railroad,"(48.872951, 2.7809789)",4532.136896931914
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",2173.903759189583
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",4.354010424399089
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",2174.1449459843743
Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",2174.2416876029706
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",0.10054055676812507
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",0.25589062526736034
The Haunted Mansion,"(33.8114902, -117.92254555280647)",The Disney Gallery,"(33.8101946, -117.9184302)",0.2530442283785972
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.444593515769
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",0.17056729913167212
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2174.2856843579643
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.11959047789906384
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",0.11677013994407112
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",2174.2129389194693
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",0.07240680125384859
The Haunted Mansion,"(33.8114902, -117.92254555280647)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",2174.4197701585904
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Splash Mountain,"(28.4192429, -81.58504252640626)",2174.1675618015356
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",0.15053237864755875
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",0.11916231778047934
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",0.16891241617951253
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",0.05768667789181289
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",0.33169636405498887
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Donald's Boat,"(33.8151805, -117.91906404856115)",0.32373945375792795
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",0.31166087601007325
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Minnie's House,"(33.81558355, -117.91901094992576)",0.3477678697792905
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",0.3728338461806474
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Fantasyland Theatre,"(33.81447575, -117.9193328753469)",0.2765907812032508
The Haunted Mansion,"(33.8114902, -117.92254555280647)",It's a Small World,"(33.8153316, -117.91738182498915)",0.3979290865338292
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",0.25333727939334877
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Pixie Hollow,"(33.812503, -117.9182845)",0.25488890677493553
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",0.2266329494037584
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",0.2899064123288817
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",0.244744600349033
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Alice in Wonderland,"(33.8131608, -117.918366)",0.266600527434833
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",0.2909042427893152
The Haunted Mansion,"(33.8114902, -117.92254555280647)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",0.24413112721480998
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",0.28113163111202116
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",0.21839509300940618
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",0.28716755916755027
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Disneyland Monorail,"(33.812807, -117.9166715)",0.3499163204014327
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",0.3224207021411743
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",2176.935158816811
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",0.26532376763595134
The Haunted Mansion,"(33.8114902, -117.92254555280647)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",0.20218861847245825
Disneyland Railroad,"(48.872951, 2.7809789)",Main Street Vehicles,"(48.8711858, 2.7782974)",0.17268147517925583
Disneyland Railroad,"(48.872951, 2.7809789)",Main Street Cinema,"(28.4172281, -81.5810162)",4531.992519106888
Disneyland Railroad,"(48.872951, 2.7809789)",Jungle Cruise,"(28.41794735, -81.58349665864117)",4532.066897287216
Disneyland Railroad,"(48.872951, 2.7809789)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",4532.136896931914
Disneyland Railroad,"(48.872951, 2.7809789)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",4531.833856312205
Disneyland Railroad,"(48.872951, 2.7809789)",Splash Mountain,"(28.4192429, -81.58504252640626)",4532.072763901129
Disneyland Railroad,"(48.872951, 2.7809789)",Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",0.2716976016267749
Disneyland Railroad,"(48.872951, 2.7809789)",Dumbo the Flying Elephant,"(48.87399895, 2.774583969325409)",0.3003532330428833
Disneyland Railroad,"(48.872951, 2.7809789)",Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",0.12562648395089868
Disneyland Railroad,"(48.872951, 2.7809789)",Autopia,"(48.8732257, 2.7789328)",0.09517791500895868
Disneyland Railroad,"(48.872951, 2.7809789)",Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",0.17150196034203816
Disneyland Railroad,"(48.872951, 2.7809789)",Space Mountain,"(48.87407195, 2.779286235777686)",0.10932851156472574
Disneyland Railroad,"(48.872951, 2.7809789)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",4533.93480982345
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",0.055490626987851566
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",0.2594949057910845
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",The Disney Gallery,"(33.8101946, -117.9184302)",0.258928341845313
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.4147633516695
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",0.15068587422974197
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2174.2558542770266
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.15876886657858894
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",0.11791002809143916
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",2174.1831101644175
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",0.07240680125384859
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",2174.3899339081922
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Splash Mountain,"(28.4192429, -81.58504252640626)",2174.137730011954
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",0.09822298821369328
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",0.07763578860943492
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",0.12975770766104544
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",0.031049932851436056
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",0.2631389179811452
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Donald's Boat,"(33.8151805, -117.91906404856115)",0.25411422454258453
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",0.24074970371680007
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Minnie's House,"(33.81558355, -117.91901094992576)",0.2772322262041981
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",0.30623546593348433
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Fantasyland Theatre,"(33.81447575, -117.9193328753469)",0.2088153532745025
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",It's a Small World,"(33.8153316, -117.91738182498915)",0.33317198245005286
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",0.1995000579885797
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Pixie Hollow,"(33.812503, -117.9182845)",0.21554955236478324
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",0.17409623165870203
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",0.23318035873245038
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",0.18312474408257215
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Alice in Wonderland,"(33.8131608, -117.918366)",0.21646332504217436
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",0.24409447121906291
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",0.1880748425552506
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",0.22724438954934295
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",0.1698852720658085
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",0.25074589289094984
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Disneyland Monorail,"(33.812807, -117.9166715)",0.3093011090345854
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",0.2805102301952476
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",2176.9054385322793
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",0.19427143151101728
Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",0.1463865365152288
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",2174.3355551673535
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Disneyland Railroad,"(48.872951, 2.7809789)",4531.833856312205
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",2174.177959276255
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",The Disney Gallery,"(33.8101946, -117.9184302)",2174.183291905024
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Main Street Vehicles,"(48.8711858, 2.7782974)",4531.749686558905
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Main Street Cinema,"(28.4172281, -81.5810162)",0.19226068716960681
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",2174.2495686331886
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Jungle Cruise,"(28.41794735, -81.58349665864117)",0.23520972602163262
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",2174.332911055864
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",2174.30392711635
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",0.3128860164751434
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",2174.4197701585904
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Disneyland Railroad,"(48.872951, 2.7809789)",4531.833856312205
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",2174.3899339081922
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Splash Mountain,"(28.4192429, -81.58504252640626)",0.2883250424080782
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",2174.292860537747
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",2174.3133032321175
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",2174.2605335801
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",2174.3763948948563
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",2174.202287860691
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Donald's Boat,"(33.8151805, -117.91906404856115)",2174.218681853959
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",2174.24295075812
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Minnie's House,"(33.81558355, -117.91901094992576)",2174.2155422374926
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",2174.15546188493
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Fantasyland Theatre,"(33.81447575, -117.9193328753469)",2174.2342965661987
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",It's a Small World,"(33.8153316, -117.91738182498915)",2174.1218735075304
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",2174.199303968444
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",4531.564600866464
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Pixie Hollow,"(33.812503, -117.9182845)",2174.174406029433
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",2174.2213857587576
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",2174.173746486755
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Dumbo the Flying Elephant,"(48.87399895, 2.774583969325409)",4531.533674313115
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",2174.228947345994
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Alice in Wonderland,"(33.8131608, -117.918366)",2174.178953211503
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",2174.149352955745
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",2174.213043551202
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",2174.173784794595
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",2174.2222367742565
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",4531.708504953791
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Autopia,"(48.8732257, 2.7789328)",4531.738956835001
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",4531.7240409669985
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",2174.1392307352976
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Space Mountain,"(48.87407195, 2.779286235777686)",4531.738444283519
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Disneyland Monorail,"(33.812807, -117.9166715)",2174.0815436862945
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Disneyland Railroad,"(48.872951, 2.7809789)",4531.833856312205
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",2174.1105800406513
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",4.418912809451268
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",2174.3517480861783
The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",2174.448496104663
Splash Mountain,"(28.4192429, -81.58504252640626)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",2174.0833505238925
Splash Mountain,"(28.4192429, -81.58504252640626)",Disneyland Railroad,"(48.872951, 2.7809789)",4532.072763901129
Splash Mountain,"(28.4192429, -81.58504252640626)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",2173.925745259856
Splash Mountain,"(28.4192429, -81.58504252640626)",The Disney Gallery,"(33.8101946, -117.9184302)",2173.9310774598757
Splash Mountain,"(28.4192429, -81.58504252640626)",Main Street Vehicles,"(48.8711858, 2.7782974)",4531.988600895256
Splash Mountain,"(28.4192429, -81.58504252640626)",Main Street Cinema,"(28.4172281, -81.5810162)",0.281672295257276
Splash Mountain,"(28.4192429, -81.58504252640626)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",2173.9973610313978
Splash Mountain,"(28.4192429, -81.58504252640626)",Jungle Cruise,"(28.41794735, -81.58349665864117)",0.1296813216668679
Splash Mountain,"(28.4192429, -81.58504252640626)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",2174.0806971412167
Splash Mountain,"(28.4192429, -81.58504252640626)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",2174.0517177666534
Splash Mountain,"(28.4192429, -81.58504252640626)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",0.10532148983176973
Splash Mountain,"(28.4192429, -81.58504252640626)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",2174.1675618015356
Splash Mountain,"(28.4192429, -81.58504252640626)",Disneyland Railroad,"(48.872951, 2.7809789)",4532.072763901129
Splash Mountain,"(28.4192429, -81.58504252640626)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",2174.137730011954
Splash Mountain,"(28.4192429, -81.58504252640626)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",0.2883250424080782
Splash Mountain,"(28.4192429, -81.58504252640626)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",2174.0406576549094
Splash Mountain,"(28.4192429, -81.58504252640626)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",2174.061098494078
Splash Mountain,"(28.4192429, -81.58504252640626)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",2174.0083290334155
Splash Mountain,"(28.4192429, -81.58504252640626)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",2174.1241891092855
Splash Mountain,"(28.4192429, -81.58504252640626)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",2173.9500964398844
Splash Mountain,"(28.4192429, -81.58504252640626)",Donald's Boat,"(33.8151805, -117.91906404856115)",2173.9664906539642
Splash Mountain,"(28.4192429, -81.58504252640626)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",2173.9907597563106
Splash Mountain,"(28.4192429, -81.58504252640626)",Minnie's House,"(33.81558355, -117.91901094992576)",2173.96335291564
Splash Mountain,"(28.4192429, -81.58504252640626)",Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",2173.903271310398
Splash Mountain,"(28.4192429, -81.58504252640626)",Fantasyland Theatre,"(33.81447575, -117.9193328753469)",2173.982102084402
Splash Mountain,"(28.4192429, -81.58504252640626)",It's a Small World,"(33.8153316, -117.91738182498915)",2173.8696829921178
Splash Mountain,"(28.4192429, -81.58504252640626)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",2173.947104050493
Splash Mountain,"(28.4192429, -81.58504252640626)",Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",4531.803510082227
Splash Mountain,"(28.4192429, -81.58504252640626)",Pixie Hollow,"(33.812503, -117.9182845)",2173.922202340373
Splash Mountain,"(28.4192429, -81.58504252640626)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",2173.969184811178
Splash Mountain,"(28.4192429, -81.58504252640626)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",2173.921548500124
Splash Mountain,"(28.4192429, -81.58504252640626)",Dumbo the Flying Elephant,"(48.87399895, 2.774583969325409)",4531.772582356148
Splash Mountain,"(28.4192429, -81.58504252640626)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",2173.9767493521695
Splash Mountain,"(28.4192429, -81.58504252640626)",Alice in Wonderland,"(33.8131608, -117.918366)",2173.926752589254
Splash Mountain,"(28.4192429, -81.58504252640626)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",2173.8971518505246
Splash Mountain,"(28.4192429, -81.58504252640626)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",2173.9608439756576
Splash Mountain,"(28.4192429, -81.58504252640626)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",2173.9215856417895
Splash Mountain,"(28.4192429, -81.58504252640626)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",2173.970034716202
Splash Mountain,"(28.4192429, -81.58504252640626)",Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",4531.947412170972
Splash Mountain,"(28.4192429, -81.58504252640626)",Autopia,"(48.8732257, 2.7789328)",4531.977864749582
Splash Mountain,"(28.4192429, -81.58504252640626)",Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",4531.962942660662
Splash Mountain,"(28.4192429, -81.58504252640626)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",2173.887026526663
